0,1,354,335
0,2,427,335
0,3,392,375
0,4,373,407
1,1,353,335
1,2,428,334
1,3,392,379
1,4,375,407
2,1,354,334
2,2,429,335
2,3,393,379
2,4,375,407
3,1,354,334
3,2,429,335
3,3,393,379
3,4,375,407
4,1,354,334
4,2,429,335
4,3,393,379
4,4,375,407
5,1,354,334
5,2,429,335
5,3,393,379
5,4,375,407
6,1,321,360
6,2,430,334
6,3,395,381
6,4,375,407
7,1,321,360
7,2,430,334
7,3,395,381
7,4,375,407
8,1,321,360
8,2,430,334
8,3,395,381
8,4,375,407
9,1,321,360
9,2,430,334
9,3,395,381
9,4,375,407
10,1,321,360
10,2,430,334
10,3,395,381
10,4,375,407
11,1,321,360
11,2,430,334
11,3,395,381
11,4,375,407
12,1,321,360
12,2,430,334
12,3,395,381
12,4,375,407
13,1,321,360
13,2,430,334
13,3,395,381
13,4,375,407
14,1,321,360
14,2,430,334
14,3,395,381
14,4,375,407
15,1,369,329
15,2,442,328
15,3,407,367
15,4,387,401
16,1,370,329
16,2,443,328
16,3,409,370
16,4,390,400
17,1,371,328
17,2,444,327
17,3,408,369
17,4,389,399
18,1,371,328
18,2,446,330
18,3,407,368
18,4,390,400
19,1,370,328
19,2,443,328
19,3,406,368
19,4,389,398
20,1,367,328
20,2,443,328
20,3,405,370
20,4,387,398
21,1,367,328
21,2,442,327
21,3,405,370
21,4,387,398
22,1,368,328
22,2,440,326
22,3,406,370
22,4,388,398
23,1,368,328
23,2,442,327
23,3,406,370
23,4,388,398
24,1,368,328
24,2,442,327
24,3,406,370
24,4,387,399
25,1,368,328
25,2,442,327
25,3,406,370
25,4,388,398
26,1,368,328
26,2,442,327
26,3,406,370
26,4,388,398
27,1,368,328
27,2,442,327
27,3,406,370
27,4,388,398
28,1,368,328
28,2,442,327
28,3,406,370
28,4,387,398
29,1,368,328
29,2,442,329
29,3,405,370
29,4,387,398
30,1,368,328
30,2,442,329
30,3,405,370
30,4,387,398
31,1,368,328
31,2,440,325
31,3,405,370
31,4,387,398
32,1,368,328
32,2,442,329
32,3,407,366
32,4,387,398
33,1,368,328
33,2,442,329
33,3,407,366
33,4,387,398
34,1,368,328
34,2,442,329
34,3,407,366
34,4,385,397
35,1,368,328
35,2,442,327
35,3,407,366
35,4,385,397
36,1,368,328
36,2,442,327
36,3,407,366
36,4,388,398
37,1,368,328
37,2,440,329
37,3,407,366
37,4,386,398
38,1,368,328
38,2,441,329
38,3,406,368
38,4,386,398
39,1,369,329
39,2,441,326
39,3,405,370
39,4,386,399
40,1,369,329
40,2,441,328
40,3,407,368
40,4,389,401
41,1,369,329
41,2,440,329
41,3,407,368
41,4,390,400
42,1,369,330
42,2,440,330
42,3,407,369
42,4,389,400
43,1,369,330
43,2,440,330
43,3,407,369
43,4,389,400
44,1,370,330
44,2,439,330
44,3,407,368
44,4,389,400
45,1,366,328
45,2,439,329
45,3,407,369
45,4,390,399
46,1,363,327
46,2,441,328
46,3,406,370
46,4,386,401
47,1,363,327
47,2,441,327
47,3,406,370
47,4,384,401
48,1,363,327
48,2,441,327
48,3,406,370
48,4,386,401
49,1,363,327
49,2,441,327
49,3,406,370
49,4,384,401
50,1,363,327
50,2,439,329
50,3,406,370
